Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
John Rutledge|United States jurist and second chief justice of the United States Supreme Court; he was appointed by George Washington and briefly served as chief justice but was ultimately rejected by the United States Senate (1739-1800)
Eero Saarinen|United States architect (born in Finland) (1910-1961)
Eliel Saarinen|Finnish architect and city planner who moved to the United States in 1923; father of Eero Saarinen (1873-1950)
Albert Sabin|United States microbiologist (born in Poland) who developed the Sabin vaccine that is taken orally against poliomyelitis (born 1906)
Sacagawea|the Shoshone guide and interpreter who guided the Lewis and Clark expedition part of the way
Nicola Sacco|United States anarchist (born in Italy) who with Bartolomeo Vanzetti was convicted of murder and in spite of world-wide protest was executed (1891-1927)
Anwar Sadat|Egyptian statesman who (as president of Egypt) negotiated a peace treaty with Menachem Begin (then prime minister of Israel) (1918-1981)
Charles Camille Saint-Saens|French pianist and composer (1835-1921)
Andrei Sakharov|Soviet physicist and dissident; helped develop the first Russian hydrogen bomb; advocated nuclear disarmament and campaigned for human rights (1921-1989)
Salah-ad-Din Yusuf ibn-Ayyub|sultan of Syria and Egypt; reconquered Jerusalem from the Christians in 1187 but was defeated by Richard Coeur de Lion in 1191 (1137-1193)
J. D. Salinger|United States writer (born 1919)
Jonas Salk|United States virologist who developed the Salk vaccine that is injected against poliomyelitis (born 1914)
Salome|woman whose dancing beguiled Herod into giving her the head of John the Baptist
Haym Salomon|American financier and American Revolutionary War patriot who helped fund the army during the American Revolution (1740?-1785)
Samson|(Old Testament) a judge of Israel who performed herculean feats of strength against the Philistines until he was betrayed to them by his mistress Delilah
Samuel|(Old Testament) Hebrew prophet and judge who anointed Saul as king
George Sand|French writer known for works concerning women's rights and independence (1804-1876)
Carl Sandburg|United States writer remembered for his poetry in free verse and his six volume biography of Abraham Lincoln (1878-1967)
Margaret Sanger|United States nurse who campaigned for birth control and planned parenthood; she challenged Gregory Pincus to develop a birth control pill (1883-1966)
Frederick Sanger|English biochemist who determined the sequence of amino acids in insulin and who invented a technique to determine the genetic sequence of an organism (born in 1918)
Santa Ana|Mexican general who tried to crush the Texas revolt and who lost battles to Winfield Scott and Zachary Taylor in the Mexican War (1795-1876)
Edward Sapir|anthropologist and linguist; studied languages of North American Indians (1884-1939)
Sappho|the Greek lyric poet of Lesbos; much admired although only fragments of her poetry have been preserved (6th century BC)
Sarah|(Old Testament) the wife of Abraham and mother of Isaac
Gene Sarazen|United States golfer who was first to win all four major golf tournaments (1902-1999)
John Singer Sargent|United States painter (born in Italy) known for his society portraits (1856-1925)
David Sarnoff|United States businessman who pioneered in radio and television broadcasting (1891-1971)
William Saroyan|United States writer of plays and short stories (1908-1981)
Jean-Paul Sartre|French writer and existentialist philosopher (1905-1980)
Erik Satie|French composer noted for his experimentalism and rejection of Romanticism (1866-1925)
Saul|(Old Testament) the first king of the Israelites who defended Israel against many enemies (especially the Philistines)
Girolamo Savonarola|Italian religious and political reformer; a Dominican friar in Florence who preached against sin and corruption and gained a large following; he expelled the Medici from Florence but was later excommunicated and executed for criticizing the Pope (1452-1498)
Adolphe Sax|a Belgian maker of musical instruments who invented the saxophone (1814-1894)
Hermann Maurice Saxe|a French marshal who distinguished himself in the War of the Austrian Succession (1696-1750)
Saxo Grammaticus|Danish historian who chronicled the history of Denmark (including the legend of Hamlet) (1150?-1220?)
Dorothy Sayers|English writer of detective fiction (1893-1957)
Karl Scheele|Swedish chemist (born in Germany) who discovered oxygen before Priestley did (1742-1786)
Elsa Schiaparelli|fashion designer born in Italy who was noted for her use of synthetic materials and brilliant colors (1896-1973)
Giovanni Virginio Schiaparelli|Italian astronomer who first noted lines (which he called canals) on the surface of Mars (1835-1910)
Johann Christoph Friedrich von Schiller|German romantic writer (1759-1805)
Matthias Schleiden|German physiologist and histologist who in 1838 formulated the cell theory (1804-1881)
Arthur Schlesinger|United States historian (1888-1965)
Arthur Schlesinger|United States historian and advisor to President Kennedy (born in 1917)
Heinrich Schliemann|German archaeologist who discovered nine superimposed city sites of Troy; he also excavated Mycenae (1822-1890)
Helmut Schmidt|German statesman who served as chancellor of Germany (born in 1918)
Artur Schnabel|United States composer (born in Austria) and pianist noted for his interpretations of the works of Mozart and Beethoven and Schubert (1882-1951)
Christian Schonbein|German chemist who discovered ozone and developed guncotton as a propellant in firearms (1799-1868)
Arnold Schonberg|United States composer and musical theorist (born in Austria) who developed atonal composition (1874-1951)
Henry Rowe Schoolcraft|United States geologist and ethnologist and explorer who discovered the source of the Mississippi River (1793-1864)
Arthur Schopenhauer|German pessimist philosopher (1788-1860)
Erwin Schrodinger|Austrian physicist who discovered the wave equation (1887-1961)
Franz Schubert|Austrian composer known for his compositions for voice and piano (1797-1828)
Charles Schulz|United States cartoonist whose comic strip included the beagle Snoopy (1922-2000)
Robert Schumann|German romantic composer known for piano music and songs (1810-1856)
Clara Josephine Schumann|German pianist and composer of piano music; renowned for her interpretation of music, especially the music of her husband Robert Schumann (1819-1896)
Ernestine Schumann-Heink|United States operatic contralto (1861-1936)
Joseph Schumpeter|United States economist (born in Czechoslovakia) (1883-1950)
Theodor Schwann|German physiologist and histologist who in 1838 and 1839 identified the cell as the basic structure of plant and animal tissue (1810-1882)
Albert Schweitzer|French philosopher and physician and organist who spent most of his life as a medical missionary in Gabon (1875-1965)
Scipio Africanus|Roman general who commanded the invasion of Carthage in the second Punic War and defeated Hannibal at Zama (circa 237-183 BC)
John Scopes|Tennessee highschool teacher who violated a state law by teaching evolution; in a highly publicized trial in 1925 he was prosecuted by William Jennings Bryan and defended by Clarence Darrow (1900-1970)
Martin Scorsese|United States filmmaker (born in 1942)
Dred Scott|United States slave who sued for liberty after living in a non-slave state; caused the Supreme Court to declare the Missouri Compromise unconstitutional (1795?-1858)
Walter Scott|British author of historical novels and ballads (1771-1832)
Winfield Scott|United States general who was a hero of the War of 1812 and who defeated Santa Anna in the Mexican War (1786-1866)
Robert Scott|English explorer who reached the South Pole just a month after Amundsen; he and his party died on the return journey (1868-1912)
George C. Scott|award-winning United States film actor (1928-1999)
Aleksandr Scriabin|Russian composer of orchestral and piano music (1872-1915)
Augustin Eugene Scribe|French playwright (1791-1861)
James Edmund Scripps|United States newspaper publisher and half-brother of Edward Wyllis Scripps (1835-1908)
Edward Wyllis Scripps|United States newspaper publisher who founded an important press association; half-brother of James Edmund Scripps (1854-1926)
Glenn T. Seaborg|United States chemist who was one of the discoverers of plutonium (1912-1999)
Elizabeth Seaman|muckraking United States journalist who exposed bad conditions in mental institutions (1867-1922)
Alan Seeger|United States poet killed in World War I (1888-1916)
Pete Seeger|United States folk singer who was largely responsible for the interest in folk music in the 1960s (born in 1919)
George Segal|United States sculptor (born in 1924)
Andres Segovia|Spanish guitarist who made classical guitar a concert instrument (1893-1987)
Monica Seles|United States tennis player (born in Yugoslavia in 1973)
Seleucus I|Macedonian general who accompanied Alexander the Great into Asia; founded a line of kings who reigned in Asia Minor until 65 BC (358-281 BC)
Selkirk|Scottish sailor who was put ashore on a deserted island off the coast of Chile for five years (providing the basis for Daniel Defoe's novel about Robinson Crusoe) (1676-1721)
Peter Sellers|English comic actor (1925-1980)
David O. Selznick|United States filmmaker noted for his film adaptations of popular novels (1902-1965)
Seneca|Roman statesman and philosopher who was an advisor to Nero; his nine extant tragedies are modeled on Greek tragedies (circa 4 BC - 65 AD)
Alois Senefelder|German printer who invented lithography (1771-1834)
Sennacherib|king of Assyria who invaded Judea twice and defeated Babylon and rebuilt Nineveh after it had been destroyed by Babylonians (died in 681 BC)
Mack Sennett|United States filmmaker (born in Canada) noted for slapstick movies (1880-1960)
Sequoya|Cherokee who created a notation for writing the Cherokee language (1770-1843)
Rudolf Serkin|United States concert pianist (born in Czechoslovakia) (1903-1991)
Junipero Serra|Spanish missionary who founded Franciscan missions in California (1713-1784)
Robert William Service|Canadian writer (born in England) who wrote about life in the Yukon Territory (1874-1958)
Roger Sessions|United States composer who promoted 20th century music (1896-1985)
Elizabeth Seton|United States religious leader who was the first person born in the United States to be canonized (1774-1821)
Georges Seurat|French painter who developed pointillism (1859-1891)
William Henry Seward|United States politician who as Secretary of State in 1867 arranged for the purchase of Alaska from Russia (known at the time as Seward's Folly) (1801-1872)
Anne Sexton|United States poet (1928-1974)
Jane Seymour|Queen of England as the third wife of Henry VIII and mother of Edward VI (1509-1537)
Shah Jahan|Mogul emperor of India during whose reign the finest monuments of Mogul architecture were built (including the Taj Mahal at Agra) (1592-1666)
Ben Shahn|United States artist whose work reflected social and political themes (1898-1969)
Shakespeare|English poet and dramatist considered one of the greatest English writers (1564-1616)
Ravi Shankar|Indian sitar player who popularized classical Indian music in the West (born in 1920)
Claude Shannon|United States electrical engineer who pioneered mathematical communication theory (1916-2001)
Harlow Shapley|United States astronomer (1885-1972)
Shaw|British playwright (born in Ireland); founder of the Fabian Society (1856-1950)
Anna Howard Shaw|United States physician and suffragist (1847-1919)
Henry Wheeler Shaw|United States humorist who wrote about rural life (1818-1885)
Artie Shaw|United States clarinetist and leader of a swing band (1910-2004)
Ted Shawn|United States dancer and choreographer who collaborated with Ruth Saint Denis (1891-1972)
Moira Shearer|Scottish ballet dancer and actress (born in 1926)
Percy Bysshe Shelley|Englishman and romantic poet (1792-1822)
Mary Shelley|English writer who created Frankenstein's monster and married Percy Bysshe Shelley (1797-1851)
Alan Shepard|astronaut who made the first United States' suborbital rocket-powered flight in 1961 (1923-1998)
Sam Shepard|United States author of surrealistic allegorical plays (born in 1943)
Richard Brinsley Sheridan|Irish playwright remembered for his satirical comedies of manners (1751-1816)
Roger Sherman|American Revolutionary leader and signer of the Declaration of Independence and the Articles of Confederation and the United States Constitution (1721-1793)
William Tecumseh Sherman|United States general who was commander of all Union troops in the West; he captured Atlanta and led a destructive march to the sea that cut the Confederacy in two (1820-1891)
Sir Charles Scott Sherrington|English physiologist who conducted research on reflex action (1857-1952)
Robert Emmet Sherwood|United States playwright (1896-1955)
Taras Grigoryevich Shevchenko|Ukranian poet (1814-1861)
William Lawrence Shirer|United States broadcast journalist who was in Berlin at the outbreak of World War II (1904-1993)
William Shockley|United States physicist (born in England) who contributed to the development of the electronic transistor (1910-1989)
Dmitri Shostakovich|Russian composer best known for his fifteen symphonies (1906-1975)
Nevil Shute|English novelist who settled in Australia after World War II (1899-1960)
Jean Sibelius|Finnish composer (1865-1957)
Sarah Siddons|English actress noted for her performances in Shakespearean roles (1755-1831)
Sir Philip Sidney|English poet (1554-1586)
Ernst Werner von Siemens|German electrical engineer (1816-1892)
Karl Wilhelm Siemens|engineer who was a brother of Ernst Werner von Siemens and who moved to England (1823-1883)
Igor Sikorsky|United States industrialist (born in Russia) who designed the first four-engine airplane and the first mass-produced helicopter (1889-1972)
Beverly Sills|United States operatic soprano (born in 1929)
Shel Silverstein|United States poet and cartoonist remembered for his stories and poems for children (1932-1999)
Georges Simenon|French writer (born in Belgium) best known for his detective novels featuring Inspector Maigret (1903-1989)
Herb Simon|United States economist and psychologist who pioneered in the development of cognitive science (1916-2001)
Neil Simon|United States playwright noted for light comedies (born in 1927)
Paul Simon|United States singer and songwriter (born in 1942)
St. Simon|one of the twelve Apostles (first century)
Sir James Young Simpson|Scottish obstetrician and surgeon who pioneered in the use of ether and discovered the anesthetic effects of chloroform (1811-1870)
Mrs. Simpson|United States divorcee whose marriage to Edward VIII created a constitutional crisis leading to his abdication
Frank Sinatra|United States singer and film actor (1915-1998)
Clive Sinclair|English electrical engineer who founded a company that introduced many innovative products (born in 1940)
Upton Sinclair|United States writer whose novels argued for social reform (1878-1968)
Isaac Bashevis Singer|United States writer (born in Poland) of Yiddish stories and novels (1904-1991)
Isaac M. Singer|United States inventor of an improved chain-stitch sewing machine (1811-1875)
David Siqueiros|Mexican painter of murals depicting protest and revolution (1896-1974)
Siraj-ud-daula|Indian general and nawab of Bengal who opposed the colonization of India by England; he captured Calcutta in 1756 and many of his prisoners suffocated in a crowded room that became known as the Black Hole of Calcutta; he was defeated at the battle of Plassey by a group of Indian nobles in alliance with Robert Clive (1728-1757)
Willem de Sitter|Dutch astronomer who calculated the size of the universe and suggested that it is expanding (1872-1934)
Indian chief|a chief of the Sioux; took up arms against settlers in the northern Great Plains and against United States Army troops; he was present at the Battle of Little Bighorn (1876) when the Sioux massacred General Custer's troops (1831-1890)
Dame Edith Sitwell|English poet (1887-1964)
Francesco della Rovere|Italian pope from 1471 to 1484 who consented to the establishment of the Spanish Inquisition and built the Sistine Chapel (1414-1484)
Walter William Skeat|English philologist (1835-1912)
Skinner|United States psychologist and a leading proponent of behaviorism (1904-1990)
Cornelia Otis Skinner|United States actress noted for her one-woman shows (1901-1979)
Otis Skinner|United States actor (1858-1942)
Richard Smalley|American chemist who with Robert Curl and Harold Kroto discovered fullerenes and opened a new branch of chemistry (born in 1943)
Bedrich Smetana|Czech composer (1824-1884)
Adam Smith|Scottish economist who advocated private enterprise and free trade (1723-1790)
John Smith|English explorer who helped found the colony at Jamestown, Virginia; was said to have been saved by Pocahontas (1580-1631)
Joseph Smith|religious leader who founded the Mormon Church in 1830 (1805-1844)
Bessie Smith|United States blues singer (1894-1937)
Julia Evelina Smith|United States suffragist who refused to pay taxes until she could vote (1792-1886)
Kate Smith|United States singer noted for her rendition of patriotic songs (1909-1986)
David Smith|United States sculptor (1906-1965)
Ian Smith|Rhodesian statesman who declared independence of Zimbabwe from Great Britain (born in 1919)
Tobias Smollett|Scottish writer of adventure novels (1721-1771)
Jan Christian Smuts|South African statesman and soldier (1870-1950)
Sam Snead|United States golfer known for the graceful arc of his swing (1912-2002)
Hermann Snellen|Dutch ophthalmologist who introduced the Snellen chart to study visual acuity (1834-1908)
C. P. Snow|English writer of novels about moral dilemmas in academe (1905-1980)
Faustus Socinus|Italian theologian who argued against Trinitarianism (1539-1604)
Socrates|ancient Athenian philosopher; teacher of Plato and Xenophon (470-399 BC)
Frederick Soddy|English chemist whose work on radioactive disintegration led to the discovery of isotopes (1877-1956)
Solomon|(Old Testament) son of David and king of Israel noted for his wisdom (10th century BC)
Ernest Solvay|Belgian chemist who developed the Solvay process and built factories exploiting it (1838-1922)
Alexander Isayevich Solzhenitsyn|Soviet writer and political dissident whose novels exposed the brutality of Soviet labor camps (born in 1918)
Stephen Sondheim|United States composer of musicals (born in 1930)
Susan Sontag|United States writer (born in 1933)
Sophocles|one of the great tragedians of ancient Greece (496-406 BC)
Soren Peter Lauritz Sorensen|Danish chemist who devised the pH scale (1868-1939)
Jacques Germain Soufflot|French architect (1713-1780)
John Philip Sousa|a United States bandmaster and composer of military marches (1854-1932)
Robert Southey|English poet and friend of Wordsworth and Coleridge (1774-1843)
Chaim Soutine|French expressionist painter (born in Lithuania) (1893-1943)
Lazzaro Spallanzani|Italian physiologist who disproved the theory of spontaneous generation (1729-1799)
Muriel Spark|Scottish writer of satirical novels (born in 1918)
Boris Spassky|Russian chess master who moved to Paris; world champion from 1969 to 1972 (born in 1937)
Albert Speer|German Nazi architect who worked for Hitler (1905-1981)
John Speke|English explorer who with Sir Richard Burton was the first European to explore Lake Tanganyika; he also discovered Lake Victoria and named it (1827-1864)
Herbert Spencer|English philosopher and sociologist who applied the theory of natural selection to human societies (1820-1903)
Stephen Spender|English poet and critic (1909-1995)
Oswald Spengler|German philosopher who argued that cultures grow and decay in cycles (1880-1936)
Edmund Spenser|English poet who wrote an allegorical romance celebrating Elizabeth I in the Spenserian stanza (1552-1599)
Elmer Ambrose Sperry|United States engineer and inventor of the gyrocompass (1860-1930)
Steven Spielberg|United States filmmaker (born in 1947)
Mickey Spillane|United States writer of popular detective novels (born in 1918)
Benjamin Spock|United States pediatrician whose many books on child care influenced the upbringing of children around the world (1903-1998)
Josiah Spode|English potter who started a pottery famous for its bone china (1754-1827)
Madame de Stael|French romantic writer (1766-1817)
Joseph Stalin|Russian leader who succeeded Lenin as head of the Communist Party and created a totalitarian state by purging all opposition (1879-1953)
Miles Standish|English colonist in America; leader of the Pilgrims in the early days of the Plymouth Colony (1584-1656)
Leland Stanford|United States railroad executive and founder of Stanford University (1824-1893)
Konstantin Stanislavsky|Russian actor and theater director who trained his actors to emphasize the psychological motivation of their roles (1863-1938)
Henry M. Stanley|Welsh journalist and explorer who led an expedition to Africa in search of David Livingstone and found him in Tanzania in 1871; he and Livingstone together tried to find the source of the Nile River (1841-1904)
Francis Edgar Stanley|United States inventor who built a steam-powered automobile (1849-1918)
Elizabeth Cady Stanton|United States suffragist and feminist; called for reform of the practices that perpetuated sexual inequality (1815-1902)
Ringo Starr|rock star and drummer for the Beatles (born in 1940)
Saint Denis|United States dancer and choreographer who collaborated with Ted Shawn (1877-1968)
Sir Richrd Steele|English writer (1672-1729)
Jan Steen|Dutch genre painter (1626-1679)
Lincoln Steffens|United States journalist whose exposes in 1906 started an era of muckraking journalism (1866-1936)
Edward Jean Steichen|United States photographer who pioneered artistic photography (1879-1973)
Gertrude Stein|experimental expatriate United States writer (1874-1946)
John Steinbeck|United States writer noted for his novels about agricultural workers (1902-1968)
Saul Steinberg|United States cartoonist (born in Romania) noted for his caricatures of famous people (1914-1999)
Gloria Steinem|United States feminist (born in 1934)
Rudolf Steiner|Austrian philosopher who founded anthroposophy (1861-1925)
David Barnard Steinman|United States civil engineer noted for designing suspension bridges (including the George Washington Bridge) (1886-1960)
Charles Proteus Steinmetz|United States electrical engineer and inventor (born in Germany) (1865-1923)
Henry Steinway|United States piano maker (born in Germany) who founded a famous piano manufacturing firm in New York (1797-1871)
Frank Stella|United States minimalist painter (born in 1936)
Georg Wilhelm Steller|German naturalist (1709-1746)
Marie Henri Beyle|French writer whose novels were the first to feature psychological analysis of the character (1783-1842)
Casey Stengel|United States baseball manager (1890-1975)
Sir Leslie Stephen|English writer (1832-1904)
George Stephenson|English railway pioneer who built the first passenger railway in 1825 (1781-1848)
Isaac Stern|United States concert violinist (born in Russia in 1920)
Laurence Sterne|English writer (born in Ireland) (1713-1766)
Baron Friedrich Wilhelm Ludolf Gerhard Augustin von Steuben|American Revolutionary leader (born in Prussia) who trained the troops under George Washington (1730-1794)
George Stevens|United States filmmaker (1905-1975)
Wallace Stevens|United States poet (1879-1955)
Smitty Stevens|United States psychologist and psychophysicist who proposed Stevens' power law to replace Fechner's law (1906-1973)
Adlai Stevenson|United States politician and diplomat (1900-1968)
Robert Louis Stevenson|Scottish author (1850-1894)
Dugald Stewart|Scottish philosopher and follower of Thomas Reid (1753-1828)
Jimmy Stewart|United States film actor who portrayed incorruptible but modest heros (1908-1997)
Alfred Stieglitz|United States photographer (1864-1946)
Joseph Warren Stilwell|United States general who commanded the Allied forces in China and Burma and India during World War II (1883-1946)
Frank Stockton|United States writer (1834-1902)
Bram Stoker|Irish writer of the horror novel about Dracula (1847-1912)
Leopold Stokowski|United States conductor (born in Britain) (1882-1977)
Edward Durell Stone|United States architect (1902-1978)
Harlan Fiske Stone|United States jurist who served on the United States Supreme Court as chief justice (1872-1946)
I. F. Stone|United States journalist who advocated liberal causes (1907-1989)
Lucy Stone|United States feminist and suffragist (1818-1893)
Oliver Stone|United States filmmaker (born in 1946)
Harlan Stone|United States jurist who was named chief justice of the United States Supreme Court in 1941 by Franklin D. Roosevelt (1872-1946)
Marie Stopes|birth-control campaigner who in 1921 opened the first birth control clinic in London (1880-1958)
Tom Stoppard|British dramatist (born in Czechoslovakia in 1937)
Harriet Beecher Stowe|United States writer of a novel about slavery that advanced the abolitionists' cause (1811-1896)
Lytton Strachey|English biographer and leading member of the Bloomsbury Group (1880-1932)
Antonio Stradivari|Italian violin maker who developed the modern violin and created violins of unequaled tonal quality (1644?-1737)
Lee Strasberg|United States actor and film director (born in Austria) who was a leader in developing method acting in the United States (1901-1982)
Johann Strauss|Austrian composer of waltzes (1804-1849)
Johann Strauss|Austrian composer and son of Strauss the Elder; composed many famous waltzes and became known as the `waltz king' (1825-1899)
Richard Strauss|German composer of many operas; collaborated with librettist Hugo von Hoffmannsthal to produce several operas (1864-1949)
Stravinsky|composer who was born in Russia but lived in the United States after 1939 (1882-1971)
Meryl Streep|United States film actress (born in 1949)
Barbra Streisand|United States singer and actress (born in 1942)
William Strickland|United States architect and student of Latrobe (1787-1854)
August Strindberg|Swedish dramatist and novelist (1849-1912)
Erich von Stroheim|United States film actor (born in Austria) (1885-1957)
Gilbert Stuart|United States painter best known for his portraits of George Washington (1755-1828)
William Stubbs|English historian noted for his constitutional history of medieval England (1825-1901)
Peter Stuyvesant|the last Dutch colonial administrator of New Netherland; in 1664 he was forced to surrender the colony to England (1592-1672)
William Styron|United States writer best known for his novels (born in 1925)
Sir John Suckling|English poet and courtier (1609-1642)
Eugene Sue|French writer whose novels described the sordid side of city life (1804-1857)
Suharto|Indonesian statesman who seized power from Sukarno in 1967 (born in 1921)
Achmad Sukarno|Indonesian statesman who obtained the independence of Indonesia from the Netherlands in 1949 and served as president until ousted by Suharto in a coup d'etat (1901-1970)
Lucius Cornelius Sulla Felix|Roman general and dictator (138-78 BC)
Arthur Sullivan|English composer of operettas who collaborated with the librettist William Gilbert (1842-1900)
Anne Sullivan|United States educator who was the teacher and lifelong companion of Helen Keller (1866-1936)
Ed Sullivan|United States host on a well known television variety show (1902-1974)
Harry Stack Sullivan|United States psychiatrist (1892-1949)
Louis Sullivan|United States architect known for his steel framed skyscrapers and for coining the phrase `form follows function' (1856-1924)
Duc de Sully|French statesman (1560-1641)
Thomas Sully|United States painter (born in England) of portraits and historical scenes (1783-1872)
William Graham Sumner|United States sociologist (1840-1910)
Billy Sunday|United States evangelist (1862-1935)
Sun Yixian|Chinese statesman who organized the Kuomintang and led the revolution that overthrew the Manchu dynasty in 1911 and 1912 (1866-1925)
Joan Sutherland|Australian operatic soprano (born in 1926)
Otto Neumann Sverdrup|Norwegian explorer who led expeditions into the Arctic (1855-1930)
Jan Swammerdam|Dutch naturalist and microscopist who proposed a classification of insects and who was among the first to recognize cells in animals and was the first to see red blood cells (1637-1680)
Gloria Swanson|United States actress in many silent films (1899-1983)
Swedenborg|Swedish theologian (1688-1772)
Henry Sweet|English phonetician; one of the founders of modern phonetics (1845-1912)
Jonathan Swift|an English satirist born in Ireland (1667-1745)
Gustavus Franklin Swift|United States meat-packer who began the use of refrigerated railroad cars (1839-1903)
Algernon Charles Swinburne|English poet (1837-1909)
Thomas Sydenham|English physician (1624-1689)
Sylvester II|French pope from 999 to 1003 who was noted for his great learning (945-1003)
John Addington Symonds|English writer (1840-1893)
Arthur Symons|English poet (1865-1945)
J. M. Synge|Irish poet and playwright whose plays are based on rural Irish life (1871-1909)
George Szell|United States conductor (born in Hungary) (1897-1970)
Albert Szent-Gyorgyi|United States biochemist (born in Hungary) who was the first to isolate vitamin C (1893-1986)
Leo Szilard|United States physicist and molecular biologist who helped develop the first atom bomb and later opposed the use of all nuclear weapons (1898-1964)
Publius Cornelius Tacitus|Roman historian who wrote major works on the history of the Roman Empire (56-120)
William Howard Taft|27th President of the United States and later chief justice of the United States Supreme Court (1857-1930)
Lorado Taft|United States sculptor (1860-1936)
Rabindranath Tagore|Indian writer and philosopher whose poetry (based on traditional Hindu themes) pioneered the use of colloquial Bengali (1861-1941)
Fox Talbot|English inventor and pioneer in photography who published the first book illustrated with photographs (1800-1877)
Maria Tallchief|United States ballerina who promoted American ballet through tours and television appearances (born in 1925)
Charles Maurice de Talleyrand|French statesman (1754-1838)
Thomas Tallis|English organist and composer of church and secular music; was granted a monopoly in music printing with William Byrd (1505-1585)
Tamerlane|Mongolian ruler of Samarkand who led his nomadic hordes to conquer an area from Turkey to Mongolia (1336-1405)
Igor Tamm|Russian physicist (1895-1971)
Tancred|Norman leader in the First Crusade who played an important role in the capture of Jerusalem (1078-1112)
Jessica Tandy|United States actress (born in England) who made many stage appearances, often with her husband Hume Cronyn (1909-1994)
Roger Taney|United States jurist who served as chief justice of the United States Supreme Court; remembered for his ruling that slaves and their descendants have no rights as citizens (1777-1864)
Kenzo Tange|Japanese architect (born in 1913)
Yves Tanguy|United States surrealist painter (born in France) (1900-1955)
Arthur Tappan|United States abolitionist (1786-1865)
Quentin Tarantino|United States filmmaker (born in 1963)
Ida Tarbell|United States writer remembered for her muckraking investigations into industries in the early 20th century (1857-1944)
Andrei Tarkovsky|Russian filmmaker (1932-1986)
Tarquin the Proud|according to legend, the seventh and last Etruscan king of Rome who was expelled for his cruelty (reigned from 534 to 510 BC)
Abel Tasman|Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
Torquato Tasso|Italian poet who wrote an epic poem about the capture of Jerusalem during the First Crusade (1544-1595)
Allen Tate|United States poet and critic (1899-1979)
Jacques Tati|French filmmaker (1908-1982)
Art Tatum|United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)
Edward Lawrie Tatum|United States biochemist who discovered how genes act by regulating definite chemical events (1909-1975)
Richard Henry Tawney|English economist remembered for his studies of the development of capitalism (1880-1962)
Zachary Taylor|12th President of the United States; died in office (1784-1850)
Elizabeth Taylor|United States film actress (born in England) who was a childhood star; as an adult she often co-starred with Richard Burton (born in 1932)
Deems Taylor|United States composer and music critic (1885-1966)
Peter Tchaikovsky|important Russian composer whose works are noted for their expressive melodies (1840-1893)
Edward Teach|an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
Sara Teasdale|United States poet (1884-1933)
Renata Tebaldi|Italian operatic soprano (born in 1922)
Tecumseh|a famous chief of the Shawnee who tried to unite Indian tribes against the increasing white settlement (1768-1813)
Pierre Teilhard de Chardin|French paleontologist and philosopher (1881-1955)
Dame Kiri Te Kanawa|New Zealand operatic soprano (born in 1944)
Georg Philipp Telemann|German baroque composer (1681-1767)
Edward Teller|United States physicist (born in Hungary) who worked on the first atom bomb and the first hydrogen bomb (1908-2003)
Sir John Tenniel|English cartoonist (1820-1914)
Alfred Tennyson|Englishman and Victorian poet (1809-1892)
Tenzing Norgay|Sherpa mountaineer guide who with Sir Edmund Hillary was one of the first to attain the summit of Mount Everest (1914-1986)
Publius Terentius Afer|dramatist of ancient Rome (born in Greece) whose comedies were based on works by Menander (190?-159 BC)
Mother Teresa|Indian nun and missionary in the Roman Catholic Church (born of Albanian parents in what is now Macedonia); dedicated to helping the poor in India (1910-1997)
Saint Teresa of Avila|Spanish mystic and religious reformer; author of religious classics and a Christian saint (1515-1582)
Valentina Tereshkova|Soviet cosmonaut who was the first woman in space (born in 1937)
Dame Ellen Terry|English actress (1847-1928)
Quintus Septimius Florens Tertullianus|Carthaginian theologian whose writing influenced early Christian theology (160-230)
Nikola Tesla|United States electrical engineer and inventor (born in Croatia but of Serbian descent) who discovered the principles of alternating currents and developed the first alternating-current induction motor and the Tesla coil and several forms of oscillators (1856-1943)
William Makepeace Thackeray|English writer (born in India) (1811-1863)
Thales of Miletus|a presocratic Greek philosopher and astronomer (who predicted an eclipse in 585 BC) who was said by Aristotle to be the founder of physical science; he held that all things originated in water (624-546 BC)
Twyla Tharp|innovative United States dancer and choreographer (born in 1941)
Margaret Thatcher|British stateswoman; first woman to serve as Prime Minister (born in 1925)
Themistocles|Athenian statesman who persuaded Athens to build a navy and then led it to victory over the Persians (527-460 BC)
Theodosius I|the last emperor of a united Roman Empire, he took control of the eastern empire and ended the war with the Visigoths; he became a Christian and in 391 banned all forms of pagan worship (346-395)
Theophrastus|Greek philosopher who was a student of Aristotle and who succeeded Aristotle as the leader of the Peripatetics (371-287 BC)
Thespis|Greek poet who is said to have originated Greek tragedy (sixth century BC)
Saint Thomas|the Apostle who would not believe the resurrection of Jesus until he saw Jesus with his own eyes
Dylan Thomas|Welsh poet (1914-1953)
Lowell Thomas|a radio broadcast journalist during World War I and World War II noted for his nightly new broadcast (1892-1981)
Norman Thomas|United States socialist who was a candidate for president six times (1884-1968)
Seth Thomas|United States clockmaker who introduced mass production (1785-1859)
